"CID","CanonicalSMILES","IUPACName","Title","MolecularFormula","MolecularWeight","XLogP","HBondDonorCount","HBondAcceptorCount"
56,"CC=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=C(C(=CC=C1)OC)O)C)C)C)C)C)C)C","2-(3,7,11,15,19,23,27-heptamethyldotriaconta-2,6,10,14,18,22,26,30-octaenyl)-6-methoxyphenol","2-(3,7,11,15,19,23,27-Heptamethyldotriaconta-2,6,10,14,18,22,26,30-octaenyl)-6-methoxyphenol","C46H70O2",655.0,15.8,1,2
57,"CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=CC=CC=C1O)C)C)C)C)C)C)C)C","2-(3,7,11,15,19,23,27,31-octamethyldotriaconta-2,6,10,14,18,22,26,30-octaenyl)phenol","2-(3,7,11,15,19,23,27,31-Octamethyldotriaconta-2,6,10,14,18,22,26,30-octaenyl)phenol","C46H70O",639.0,16.600,1,1
58,"CCC(=O)C(=O)O","2-oxobutanoic acid","2-Oxobutanoic acid","C4H6O3",102.09,0.1,1,3
59,"C(C(C(=O)O)OP(=O)(O)O)O","3-hydroxy-2-phosphonooxypropanoic acid","2-Phosphoglyceric acid","C3H7O7P",186.06,-2.6,4,7
60,"CC(CO)(C(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=CC(=NC2=O)N)O)O)O)OP(=O)(O)O","[[5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] (2,4-dihydroxy-3-methyl-3-phosphonooxybutyl) hydrogen phosphate","[[5-(4-Amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] (2,4-dihydroxy-3-methyl-3-phosphonooxybutyl) hydrogen phosphate","C14H26N3O17P3",601.29,-7.7,9,17
61,"C(C(C(=O)O)OP(=O)(O)O)OP(=O)(O)O","2,3-diphosphonooxypropanoic acid","2,3-Diphosphoglyceric acid","C3H8O10P2",266.04,-3.7,5,10
62,"C1=C(C(C=C(C1O)Cl)Cl)Cl","2,4,5-trichlorocyclohexa-2,5-dien-1-ol","2,4,5-Trichlorocyclohexa-2,5-dien-1-ol","C6H5Cl3O",199.5,1.9,1,1
63,"CC(CC(C(=O)O)N)N","2,4-diaminopentanoic acid","2,4-Diaminopentanoic acid","C5H12N2O2",132.16,-3.5,3,4
64,"C1=C(C(C=C(C1O)Cl)O)Cl","2,5-dichlorocyclohexa-2,5-diene-1,4-diol","2,5-Dichloro-2,5-cyclohexadiene-1,4-diol","C6H6Cl2O2",181.01,0.6,2,2
65,"C1=C(C(=CC(=C1Cl)O)Cl)O","2,5-dichlorobenzene-1,4-diol","2,5-Dichlorohydroquinone","C6H4Cl2O2",179.00,2.700,2,2
66,"C1=CC(=C(C=C1Cl)O)Cl","2,5-dichlorophenol","2,5-Dichlorophenol","C6H4Cl2O",163.00,3.100,1,1
67,"C(C(=O)C(C(C(=O)C(=O)O)O)O)O","3,4,6-trihydroxy-2,5-dioxohexanoic acid","2,5-Diketogluconsaure","C6H8O7",192.12,-2.5,4,7
68,"CC1(C(COP(=O)(OP(=O)(O1)O)O)O)CO","2,4-dihydroxy-6-(hydroxymethyl)-6-methyl-2,4-dioxo-1,3,5,2lambda5,4lambda5-trioxadiphosphocan-7-ol","2-C-Methyl-D-erythritol-2,4-cyclopyrophosphate","C5H12O9P2",278.09,-2.8,4,9
69,"CC(=O)C=CC=C(C(=O)O)O","2-hydroxy-6-oxohepta-2,4-dienoic acid","2-Hydroxy-6-oxo-2,4-heptadienoic acid","C7H8O4",156.14,0.2,2,4
70,"CC(C)CC(=O)C(=O)O","4-methyl-2-oxopentanoic acid","4-Methyl-2-oxopentanoic acid","C6H10O3",130.14,0.9,1,3
71,"C(CC(=O)C(=O)O)CC(=O)O","2-oxohexanedioic acid","2-Oxoadipic acid","C6H8O5",160.12,-0.5,2,5
72,"C1=CC(=C(C=C1C(=O)O)O)O","3,4-dihydroxybenzoic acid","3,4-Dihydroxybenzoic acid","C7H6O4",154.12,1.100,3,4
73,"C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)OP(=O)(O)O)O)N","[5-(6-aminopurin-9-yl)-4-hydroxy-2-(phosphonooxymethyl)oxolan-3-yl] dihydrogen phosphate","Adenosine-3',5'-bisphosphate","C10H15N5O10P2",427.20,-4.600,6,14
74,"CC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O","S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 3-oxobutanethioate","3-oxobutanoyl-CoA","C25H40N7O18P3S",851.6,-5.800,9,23
75,"C(CN)C=O","3-aminopropanal","3-Aminopropanal","C3H7NO",73.09,-1.3,1,2
76,"CC12CCC3C(C1CCC2=O)CC=C4C3(CCC(C4)O)C","3-hydroxy-10,13-dimethyl-1,2,3,4,7,8,9,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-17-one","3-Hydroxyandrost-5-en-17-one","C19H28O2",288.4,3.200,1,2
77,"CC(C)C(CC(=O)O)(C(=O)O)O","2-hydroxy-2-propan-2-ylbutanedioic acid","2-Isopropylmalic acid","C7H12O5",176.17,-0.2,3,5
78,"C(C(C(=O)O)N)Cl","2-amino-3-chloropropanoic acid","3-Chloroalanine","C3H6ClNO2",123.54,-2.8,2,3
79,"C1=CC(=CN=C1)C#N","pyridine-3-carbonitrile","3-Cyanopyridine","C6H4N2",104.11,0.200,0,2
80,"C1C(C(C(=O)C=C1C(=O)O)O)O","4,5-dihydroxy-3-oxocyclohexene-1-carboxylic acid","4,5-Dihydroxy-3-oxocyclohexene-1-carboxylic acid","C7H8O5",172.13,-1.400,3,5
81,"C(C(C(C(COP(=O)(O)O)O)O)O)C(=O)C(=O)O","4,5,6-trihydroxy-2-oxo-7-phosphonooxyheptanoic acid","4,5,6-Trihydroxy-2-oxo-7-phosphonooxyheptanoic acid","C7H13O10P",288.15,-4.0,6,10
82,"C=C(C(=O)O)OC1CC(=CC(C1O)OP(=O)(O)O)C(=O)O","5-(1-carboxyethenoxy)-4-hydroxy-3-phosphonooxycyclohexene-1-carboxylic acid","1-Cyclohexene-1-carboxylic acid, 5-((1-carboxyethenyl)oxy)-4-hydroxy-3-(phosphonooxy)-","C10H13O10P",324.18,-1.8,5,10
83,"C(C(=O)C(=O)O)P(=O)O","3-hydroxyphosphonoyl-2-oxopropanoic acid","3-Phosphonylpyruvic acid","C3H5O5P",152.04,-1.7,2,5
84,"CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(C)(CC(=O)O)O)O","5-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethylsulfanyl]-3-hydroxy-3-methyl-5-oxopentanoic acid","3-Hydroxy-3-methylglutaryl CoA","C27H44N7O20P3S",911.7,-6.6,11,25
85,"C[N+](C)(C)CC(CC(=O)O)O","(3-carboxy-2-hydroxypropyl)-trimethylazanium","3-Hydroxy-4-trimethylammoniobutanoate","C7H16NO3+",162.21,-0.8,2,3
86,"C1=CC(=C(C(=C1)O)N)C(=O)O","2-amino-3-hydroxybenzoic acid","3-Hydroxyanthranilic acid","C7H7NO3",153.14,0.900,3,4
87,"CC(CO)C(=O)O","3-hydroxy-2-methylpropanoic acid","3-Hydroxyisobutyric acid","C4H8O3",104.10,-0.4,2,3
88,"CC(CO)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O","S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 3-hydroxy-2-methylpropanethioate","3-Hydroxyisobutyryl-CoA","C25H42N7O18P3S",853.6,-5.8,10,23
89,"C1=CC(=C(C(=C1)O)N)C(=O)CC(C(=O)O)N","2-amino-4-(2-amino-3-hydroxyphenyl)-4-oxobutanoic acid","3-Hydroxykynurenine","C10H12N2O4",224.21,-2.5,4,6
90,"CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(CCC(=O)O)O)O","6-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethylsulfanyl]-4-hydroxy-6-oxohexanoic acid","3-hydroxyhexanedioyl-CoA","C27H44N7O20P3S",911.7,-6.5,11,25
91,"C1=CC(=CC(=C1)O)CCC(=O)O","3-(3-hydroxyphenyl)propanoic acid","3-(3-Hydroxyphenyl)propanoic acid","C9H10O3",166.17,1.400,2,3
92,"COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4(C=C)O)O","3-ethenyl-6-[hydroxy-(6-methoxyquinolin-4-yl)methyl]-1-azabicyclo[2.2.2]octan-3-ol","3-Ethenyl-6-[hydroxy-(6-methoxyquinolin-4-yl)methyl]-1-azabicyclo[2.2.2]octan-3-ol","C20H24N2O3",340.4,1.800,2,5
93,"C(CC(=O)O)C(=O)CC(=O)O","3-oxohexanedioic acid","3-Oxoadipic acid","C6H8O5",160.12,-0.9,2,5
94,"CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)CC(=O)CCC(=O)O)O","6-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethylsulfanyl]-4,6-dioxohexanoic acid","CID94; (Acyl-CoA); [M+H]+","C27H42N7O20P3S",909.6,-6.4,10,25
95,"C(C(C(C(=O)C(C(=O)O)O)O)O)O","2,4,5,6-tetrahydroxy-3-oxohexanoic acid","2,4,5,6-Tetrahydroxy-3-oxohexanoic acid","C6H10O7",194.14,-2.8,5,7
96,"CC(=O)CC(=O)O","3-oxobutanoic acid","Acetoacetic acid","C4H6O3",102.09,-0.4,1,3
97,"C(C1C(C(C(C(O1)O)O)O)OC2C(C(=O)C(C(O2)CO)O)O)O","3,5-dihydroxy-2-(hydroxymethyl)-6-[4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxan-4-one","3,5-Dihydroxy-2-(hydroxymethyl)-6-[4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxan-4-one","C12H20O11",340.28,-4.3,7,11
98,"C(C(=O)C(=O)O)S","2-oxo-3-sulfanylpropanoic acid","3-Mercaptopyruvic acid","C3H4O3S",120.13,0.0,2,4
99,"CC(=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)C","S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 3-methylbut-2-enethioate","3-Methylcrotonyl CoA","C26H42N7O17P3S",849.6,-4.200,9,22
100,"CC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCCC(=CCC1=C(C=CC(=C1)C(=O)O)O)C)C)C)C)C)C)C)C","4-hydroxy-3-(3,7,11,15,19,23,27,31-octamethyldotriaconta-2,6,10,14,18,22,26,30-octaenyl)benzoic acid","4-Hydroxy-3-(3,7,11,15,19,23,27,31-octamethyldotriaconta-2,6,10,14,18,22,26,30-octaenyl)benzoic acid","C47H70O3",683.1,16.0,2,3
101,"C1=CC(=CC(=C1)O)C=O","3-hydroxybenzaldehyde","3-Hydroxybenzaldehyde","C7H6O2",122.12,1.400,1,2
102,"C1=CC(=CC(=C1)O)CO","3-(hydroxymethyl)phenol","3-Hydroxybenzyl alcohol","C7H8O2",124.14,0.500,2,2
103,"CC(CCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)C4CCC5C4(C(CC6C5C(CC7C6(CCC(=O)C7)C)O)O)C","S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 4-(7,12-dihydroxy-10,13-dimethyl-3-oxo-1,2,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydrocyclopenta[a]phenanthren-17-yl)pentanethioate","3-oxo-cholyl-CoA; (Acyl-CoA); [M+H]+","C45H72N7O20P3S",1156.1,-2.300,11,25
104,"C1C=C(OC1=O)CC(=O)O","2-(2-oxo-3H-furan-5-yl)acetic acid","5-Oxo-4,5-dihydro-2-furylacetic acid","C6H6O4",142.11,-0.300,1,4
105,"C(C(=O)C(=O)O)OP(=O)(O)O","2-oxo-3-phosphonooxypropanoic acid","2-Oxo-3-(phosphonooxy)propanoic acid","C3H5O7P",184.04,-2.1,3,7
106,"C(C(C(=O)O)N)OP(=O)(O)O","2-amino-3-phosphonooxypropanoic acid","dl-O-Phosphoserine","C3H8NO6P",185.07,-5.1,4,7
107,"C1=CC=C(C=C1)CCC(=O)O","3-phenylpropanoic acid","3-Phenylpropionic acid","C9H10O2",150.17,1.800,1,2
108,"C1=CC(=CN=C1)CC(=O)O","2-pyridin-3-ylacetic acid","3-Pyridineacetic acid","C7H7NO2",137.14,-0.100,1,3
