"Source Name","Live Substance Count","On-Hold Substance Count","Source Category","Source URL","DSN","Organization","Contact Full Name","Address","City","State","Postcode","Country","Last Update"
"AAA Chemistry",118740,"","Chemical Vendors, Legacy Depositors","http://www.aaa-chem.com","AAA Chemistry","AAA CHEMISTRY","Michael Lund","30 Canton Road, TST","Hong Kong","","","Hong Kong","2011/01/04"
"Aaron Chemicals LLC",110562,"","Chemical Vendors","http://www.aaronchem.com",24209,"Aaron Chemicals LLC.","Stephen Wang","G221 15th floor, Ningliu Road, Nanjing Jiangbei New Area","Nanjing","Jiangsu","","China","2021/12/09"
"AAT Bioquest",150,"","Chemical Vendors","https://www.aatbio.com/",24138,"AAT BioQuest","K Chico","520 Mercury Drive","Sunnyvale","California",94085,"United States","2020/06/10"
"AbaChemScene",93487,"","Chemical Vendors","https://www.chemscene.com/",1010,"AbaChemScene, LLC","Huan Gao","11 Deer Park Drive, Suite 102D","Monmouth Junction","NJ",08825,"United States","2020/09/02"
"Abacipharm Corp",1,"","Chemical Vendors, Legacy Depositors","http://www.abacipharma.com",23610,"Abacipharm Corporation","Emma Chuang","Suite 212 ,9520 Berger Road","Columbia","Maryland",21046,"United States","2019/07/16"
"ABBLIS Chemicals",10624,"","Chemical Vendors, Legacy Depositors","http://www.abblis.com/",732,"Abblis Chemicals LLC","Yolanda Xiang","9330 Kirby Drive, Suite 200, Houston, TX 77054, USA","TX","TX",77054,"United States","2013/09/04"
"Abbott Labs",52664,"","Legacy Depositors, Research and Development","https://www.abbott.com/","Abbott Labs","Abbott","Philip Hajduk","100 Abbott Park Road","Abbott Park","IL",60064,"United States","2011/01/06"
"abcr GmbH",348658,"","Chemical Vendors","https://www.abcr.de/en/",14207,"abcr GmbH","Bernard D'Alwis","Im Schlehert 10","Karlsruhe","Baden-Wuerttemberg",76187,"Germany","2022/01/28"
"Abe Lab, University of Texas MD Anderson Cancer Center",2000,"","Journal Publishers","https://faculty.mdanderson.org/profiles/jun-ichi_abe.html",24565,"University of Texas MD Anderson Cancer Center","Jun-ichi Abe","1515 Holcombe Boulevard, Unit 1057","Houston","TX",77030,"United States","2021/02/05"
"ABI Chem",7952950,"","Chemical Vendors, Legacy Depositors","http://www.abichem.com",708,"abi chemicals","Paola Cadine","SAMOASTRASSE 79","MUNCHEN","MUNCHEN",58356,"Germany","2011/04/01"
"AbMole Bioscience",6561,"","Chemical Vendors","http://www.abmole.com/",850,"Abmole Bioscience Inc.","Jolie Huang","8300 FM 1960 West, Suite 450 Houston, TX 77070, USA","Houston","TX",77070,"United States","2022/01/26"
"AbovChem LLC",13022,"","Chemical Vendors","http://www.abovchem.com",15389,"AbovChem LLC","Branden Lee","11315 Rancho Bernardo Rd. Suite 131","San Diego","CA",92130,"United States","2016/12/07"
"Abu Montakim Tareq, International Islamic University Chittagong",2,"","Legacy Depositors, Research and Development","https://www.researchgate.net/profile/Abu_Tareq4",23649,"International Islamic University Chittagong","Abu Montakim Tareq","Chawkbazar-4203","Chittagong","Others",4203,"Bangladesh","2020/04/13"
"Acadechem",93009,"","Chemical Vendors","http://www.acadechemical.com",15394,"Acade Chemical Co., Ltd.","Cindy Zhang","No. 33 Mong Kok Rd","Kowloon","Hong Kong","","China","2019/03/28"
"Accela ChemBio Inc.",43766,"","Chemical Vendors","http://www.accelachem.com/",4490,"Accela ChemBio Inc.","Maggie Zhao","9883 Pacific Heights Blvd. Ste. H","San Diego","California",92121,"United States","2021/08/18"
"Acemol",2357,"","Chemical Vendors","http://www.acemol.com",10613,"Beijing acemol technology Co.,Ltd","Jin Yonghong","#10,18 East AnNingZhuang Road,HaiDian District","Beijing","Beijing",100029,"China","2017/05/05"
"Aceschem Inc",14588,"","Chemical Vendors","https://www.aceschem.com",23843,"Aceschem Inc","Wang Nancy","5454 Surrey Path,Suite 205","Frisco","Texas",75034,"United States","2020/01/21"
"Acesobio",711,"","Chemical Vendors","http://acesobio.com/",1061,"Acesobio","Jay Han","125 Greencrest Dr","Middletown","NY",10941,"United States","2013/04/02"
"Achemica",139412,"","Chemical Vendors","http://www.achemica.com",1085,"Achemica","Thomas Meier","Rue du Bourg 24","Aigle","Aigle",1860,"Switzerland","2013/05/21"
"Achemo Scientific Limited",81853,"","Chemical Vendors","http://www.achemo.com",11832,"Achemo scientific Limited","Allison Lee","38 Plaza, 38 Shan Tung St Mongkok","Kowloon","Hong Kong","","China","2020/01/03"
"Achemtek",75935,"","Chemical Vendors","http://achemtek.com/",22018,"ACHEMTEK","Lei Zhang","100 Barber ave.","Worcester","MA",01606,"United States","2019/04/13"
"ACO Pharm Screening Compound",3,"","Chemical Vendors","http://www.acopharm.com/en/",10607,"Advanced carbon Organic Pharm Co., Ltd.","Ray Ma","ROOM 328, BUILDING 10, NO.3599 YUAN JIANG ROAD","Shanghai","MIN HANG DISTRICT",201109,"China","2015/03/20"
"Acorn PharmaTech Product List",61380,"","Chemical Vendors","http://www.acornpharmatech.com",881,"Acorn PharmaTech, LLC","James Wu","524 Shorebird Circle, Suite 15204","Redwood City","CA",94065,"United States","2020/04/10"
"ACT Chemical",10492,"","Chemical Vendors","http://www.actchemical.com",1198,"Shanghai ACT chemical Limited","Jerry Zhang","Building 3, Lane 560 Zhongren Road","Shanghai","Shanghai",201802,"China","2018/04/09"
"Activate Scientific",107338,"","Chemical Vendors","https://shop.activate-scientific.com/",15657,"Activate Scientific","Robert Josef Schmitt","Am Mitterweg 12","Prien","Bavaria","D-83209","Germany","2021/08/18"
"Active Biopharma",1057,"","Chemical Vendors, Legacy Depositors","http://activebiopharma.com",1009,"Active Biopharma Corp","Jie Tang","Joinhands Sci Park No.4028 Nanhuan RD","Hangzhou","Zhejiang",310053,"China","2015/07/19"
"Adooq BioScience",5743,"","Chemical Vendors","https://www.adooq.com/",914,"Adooq BioScience, LLC","Eason Ding","4000 Barranca Parkway, Suite 250","Irvine","CA",92604,"United States","2019/05/07"
"Advanced Technology & Industrial Co., Ltd.",118,"","Chemical Vendors","http://www.advtechind.com/",22044,"Advanced Technology & Industrial Co.","Sea Yang","Unit B, 1/F., Cheong Shing Bldg., 17 Walnut St., Tai Kok Tsui, Kln","Hong Kong","Kowloon",000000,"Hong Kong","2018/05/21"
"AEchem Scientific Corp., USA",61917,"","Chemical Vendors","https://www.aechemsc.com/",11754,"AEchem Scientific Corporation, USA","Jerry Wang","5413 Walnut Avenue, Suite 2D","Downers Grove","Illinois",60515,"United States","2021/06/18"
"Agios Pharmaceuticals",3,"","Research and Development","https://www.agios.com/",24454,"Agios Pharmaceuticals","Zenon Konteatis","88 Sidney St","Cambridge","MA",07928,"United States","2020/11/19"
"AHH Chemical co.,ltd",172113,"","Chemical Vendors","http://www.ahhchemical.com",11801,"AHH Chemical co.,lttd","Hermione Ho","Room 901,HaoYuan Blg,266 TongJiang Rd","Changzhou","Jiangsu",213022,"China","2019/01/30"
"AIBioTech, LLC",5,"","Chemical Vendors, Legacy Depositors","http://www.aibiotech.com/",11783,"AIBioTech","Karen Carter","601 Biotech Dr","Richmond","VA",23235,"United States","2015/09/10"
"AK Scientific, Inc. (AKSCI)",158022,"","Chemical Vendors","https://aksci.com/",1088,"AK Scientific, Inc.","Jane Lee","30023 Ahern Ave","Union City","CA",94587,"United States","2016/01/06"
"AKos Consulting & Solutions",23278706,"","Chemical Vendors","http://www.akosgmbh.de/AKosSamples/index.html","AKos Consulting & Solutions","AKos GmbH","Hans-Juergen Himmler","Am Bachle 3","Lorrach","",79540,"Germany","2021/07/20"
"Alagar Yadav, Karpagam University",2,"","Legacy Depositors, Research and Development","",879,"Karpagam University","Sangilimuthu Alagar Yadav","Pollachi Main Road, Eachanari","Coimbatore","Tamilnadu","641 021","India","2012/04/30"
"Alcatraz Chemicals",28,"","Chemical Vendors","http://www.alcatrazchemicals.com",10670,"ALCATRAZ CHEMICALS","Rajendra Singh","606 , STERLING CENTER ,R.C.DUTT ROAD","VADODARA","GUJARAT",390007,"India","2021/10/22"
"AlchemyPharm",1016,"","Chemical Vendors","https://www.alchemypharm.com/",23689,"AlchemyPharm Co., Ltd.","Joyce Ye","No. 4028, South Ring Road, Puyan Street, Binjiang District","Hangzhou","Zhejiang",310053,"China","2019/12/19"
"Alfa Chemistry",167681,"","Chemical Vendors","https://www.alfa-chemistry.com/",11764,"Alfa Chemistry","Brenda Randy","","","","","United States","2021/10/21"
"Alichem",431690,"","Chemical Vendors","https://www.alichem.com/",17774,"Alichem","Jin Lucia","7925 Silverton Ave., Suite 517","San Diego","CA",92126,"United States","2019/12/19"
"Alinda Chemical",34389,"","Chemical Vendors","http://www.alinda.ru/index_en.html","Alinda Chemical","Alinda Chemical Ltd","Svetlana Dobrova","Kuskovskaya St., 20A","Moscow","Moscow",111141,"Russia","2022/01/10"
"ALKEMIX",21,"","Chemical Vendors","https://alkemix.eu/",23936,"ALKEMIX","Peter Novem","","Bratislava","","","Slovakia","2021/11/01"
"Allbio Pharm Co., Ltd",26909,"","Chemical Vendors","http://www.allbiopharm.com",24478,"Allbio pharm Co., Ltd","Anna Liu","Ronghe building 701, East Taihu Road 11188","Suzhou","Jiangsu",215000,"China","2021/12/27"
"Alomone Labs",239,"","Chemical Vendors","https://www.alomone.com/",23197,"Alomone Labs Ltd.","daniel avital","Jerusalem BioPark (JBP), Hadassah Ein Kerem","Jerusalem","Israel",9104201,"Israel","2019/07/18"
"Alsachim",5051,"","Chemical Vendors","https://www.alsachim.com/en/","Alsachim","Alsachim","Renaud PIERRON","160 rue Tobias Stimmer","ILLKIRCH GRAFFENSTADEN","Bas-Rhin",67400,"France","2015/11/02"
"Amadis Chemical",123421,"","Chemical Vendors","https://www.amadischem.com/",813,"Amadis Chemical Co.,Ltd.","Fred Chen","No.166 Xiangmao Road","Hangzhou","Zhejiang",310015,"China","2021/10/22"
"Amatye",81,"","Chemical Vendors, Legacy Depositors","http://www.amatye.com","Amatye","Amatye, Inc.","Eric Wang","4521 Campus Drive, #182","Irvine","CA",92612,"United States","2010/07/08"
"Ambeed",191137,"","Chemical Vendors","https://www.ambeed.com/",23210,"Ambeed, Inc.","Freya Williams","3205 N Wilke Rd, Ste 3205-125","Arlington Heights","Il",60004,"United States","2022/01/31"
"Ambinter",9998469,"","Chemical Vendors","http://www.ambinter.com","Ambinter","AMBINTER SARL","Eric Paya","3, allee du titane","Orleans","France",45100,"France","2018/05/26"
"Ambit Biosciences",38,"","Chemical Vendors, Legacy Depositors","http://www.ambitbio.com/","Ambit Biosciences","Ambit Biosciences","Patrick Zarrinkar","4215 Sorrento Valley Blvd","San Diego","CA",92121,"United States","2008/08/11"
"AmicBase - Antimicrobial Activities",610,"","Chemical Vendors, Legacy Depositors","http://www.reviewscience.com",770,"ReviewScience","Alexander Pauli","Fuerther Str. 13","Zirndorf","Bavaria",90513,"Germany","2011/08/08"
"Ampyridine Co.,Ltd",1873,"","Chemical Vendors","https://www.ampyridine.com/",23692,"Ampyridine Co.,Ltd","Kevin Lian","Modern Industrial Park of Tianzihu Town","Huzhou","Zhejiang",313300,"China","2019/10/29"
"AN PharmaTech",34292,"","Chemical Vendors, Legacy Depositors","http://www.anpharma.net",4456,"AN PharmaTech Co.,Ltd","Zhang Ynes","No 88 Jianshe Rd","Shanghai","Shanghai",201320,"China","2015/01/06"
"Angayarkanni Lab, Department of Microbial Biotechnology, Bharathiar University",16,"","Governmental Organizations","https://b-u.ac.in/19/department-microbial-biotechnology",17803,"Bharathiar University","Murugesh Easwaran","Bharathiar University, Marudhamalai Road","Coimbatore","TAMIL NADU",641046,"India","2017/10/20"
"Angel Pharmatech Ltd.",62528,"","Chemical Vendors","http://www.angelpharmatech.com",23506,"Angel Pharmatech Ltd.","Maggie King","No. 70, Xianing Lane 818, Jinshan Industrial Area","Shanghai","Shanghai",201506,"China","2020/07/05"
"Angene Chemical",232390,"","Chemical Vendors","https://www.angenechemical.com/",940,"Angene Chemical","Darren Wang","3/F, Block D4, NO. 9 Kechuang Road","Nanjing","Jiangsu",210000,"China","2017/05/24"
"Anitha, Department of Bioinformatics, Karpagam University",1,"","Legacy Depositors, Research and Development","http://www.kahedu.edu.in/academic/faculty-of-arts-science-and-humanities/department-of-bioinformatics",1051,"Karpagam University, Research and Development Centre,Bharathiar University","Jebamalai Raj Anitha","Eachanari(P.O)","Coimbatore","Tamilnadu",641021,"India","2013/03/12"
"Annker Organics",1045,"","Chemical Vendors, Legacy Depositors","http://www.annker.com","Annker Organics","Annker Organics Co., Ltd.","Auchin Zhang","Wuhan National Bioindustry Base","Wuhan","Hubei",430074,"China","2012/01/31"
"Ansion Pharma",80,"","Chemical Vendors, Legacy Depositors","http://www.ansionpharma.com",15311,"Ansion Pharma","Ann Xu","Room 3021, building 2, No.598, Guanghua Road, Minhang District","Shanghai","",201108,"China","2016/12/08"
"Anward",62108,"","Chemical Vendors, Legacy Depositors","http://www.anward.com",1046,"Anward","Ashley Cheung","Silvercord Centre Tower One 30 Canton Road, Tsim Sha Tsui Kowloon, Hong Kong","Hong Kong","Hong Kong",000000,"Hong Kong","2013/02/18"
"AOBChem USA",11124,"","Chemical Vendors","https://www.aobchem.com",24083,"AOBChem USA","Luting Lei","7083 Hollywood Blvd. 5th Floor","Los Angeles","CA",90028,"United States","2020/05/13"
"AOBIOUS INC",1768,"","Chemical Vendors","https://aobious.com/aobious/",5533,"AOBIOUS INC","Phil Gao","9 Blackburn Drive","Gloucester","MA",01930,"United States","2015/09/24"
"Apeiron Synthesis",28,"","Chemical Vendors, Legacy Depositors","https://www.apeiron-synthesis.com/en/",827,"Apeiron Synthesis Sp. z o.o.","Jacek Bialecki","ul. Klecinska 125","Wroclaw","",51-520,"Poland","2012/03/24"
"ApexBio Technology",7095,"","Chemical Vendors","http://www.apexbt.com",1091,"Apexbio Technology LLC","Greg Young","7505 Fannin St Ste 410","Houston","TX",77054,"United States","2017/02/04"
"Apexmol",63493,"","Chemical Vendors","http://www.apexmol.com",956,"Apexmol technology Co,.Ltd","Ray Andy","5-2, Unit 1, No. 315 Yunhan Avenue, Beibei District, Chongqing,China","Chongqing","Chongqing",400075,"China","2021/04/16"
"Apollo Scientific",101,"","Chemical Vendors","https://www.apolloscientific.co.uk/",23293,"Apollo Scientific","Rory O'Donnell","Whitefield Rd, CVFH+9M Bredbury","Stockport","","SK62QR","United Kingdom","2018/12/12"
"Ark Pharm, Inc.",44349,"","Chemical Vendors, Legacy Depositors","http://www.arkpharminc.com",922,"Ark Pharm, Inc.","Larry Huang","3860 North Ventura Drive","ARLINGTON HEIGHTS","IL",60004,"United States","2019/05/08"
"Ark Pharma Scientific Limited",35851,"","Chemical Vendors","http://www.arkpharmtech.com",15709,"Ark Pharma Scientific Limited","Michael Hsiung","Building 6, 888 Gaoxin Rd.","Wuhan","HuBei","","China","2020/11/20"
"Aromalake Chemical",4408,"","Chemical Vendors","https://www.aromalake.com/",1226,"Aromalake Chemical Co., Ltd.","Joice Wang","Hangzhou West Lake science and Technology Park","Hangzhou","Zhejiang",310030,"China","2016/09/05"
"Aromsyn catalogue",7089,"","Chemical Vendors","http://www.aromsyn.com",975,"Aromsyn Co.,Ltd.  ","Yaxian Zhou","Joinhands Science Park, No.4028,Nanhuan Road","Hangzhou","Zhejiang",310053,"China","2015/11/26"
"Aronis",27395,"","Chemical Vendors, Legacy Depositors","http://www.aronis.ru/store/","Aronis","Aronis","Askar Rakishev","19-4-411 Novoyasenevsky prospekt","Moscow","Moscow",117593,"Russia","2013/02/28"
"Arromax Pharmatech Co., Ltd",105,"","Chemical Vendors, Legacy Depositors","http://www.arromax.com/indexe.html",1209,"Arromax Pharmatech Co., Ltd","Kay Wang","4th Floor, Bidg A3, Biobay, 218 Xinghu St., Suzhou Industrial Pa","Suzhou","Jiangsu",215123,"China","2013/11/25"
"ASCA GmbH - Angewandte Synthesechemie Adlershof",2,"","Chemical Vendors","https://asca-berlin.de/",24918,"ASCA GmbH - Angewandte Synthesechemie Adlershof","Tobias Olbrisch","Magnusstrasse 11","Berlin","",12489,"Germany","2021/09/03"
"ASINEX",362469,"","Chemical Vendors, Legacy Depositors","http://www.asinex.com","ASINEX","ASINEX Ltd.","Asinex Ltd.","5 Gabrichevskogo St. Bldg 8","Moscow","Moscow City",123367,"Russia","2006/04/30"
"Assembly Blocks Pvt. Ltd.",32517,"","Chemical Vendors","http://www.assemblyblocks.com",5528,"Assembly Blocks Pvt. Ltd.","Ankit Patel","Beronet Comm. Complex Second Floor -16","Sabarmati","Ahmedabad Gujarat, I",38005,"India","2014/11/24"
"AstaTech, Inc.",225655,"","Chemical Vendors","https://www.astatechinc.com/",1189,"AstaTech, Inc.","Cheng Zeng","2525 Pearl Buck Road","Bristol","PA",19007,"United States","2022/02/02"
"ATPase-Kinase Pharmacophores (AKP)",1,"","Legacy Depositors, Research and Development","http://www.zu.edu.jo",11915,"","Mahmoud Al-Sha'er","15, Zarqa University","Az Zarqa","","","Jordan","2015/11/30"
"Aurora Fine Chemicals LLC",34304433,"","Chemical Vendors, Legacy Depositors","https://aurorafinechemicals.com/",11831,"Aurora Fine Chemicals LLC","Alex Kutyrev","7929 Silverton Ave., Suite 609","San Diego","California",92126,"United States","2016/02/15"
"Aurum Pharmatech LLC",180852,"","Chemical Vendors, Legacy Depositors","https://www.aurumpharmatech.com/",926,"Aurum Pharmatech LLC","Aurum Pharmatech Sales Team","P.O Box 504","Howell","NJ",07731,"United States","2015/02/07"
"AVA Biochem Switzerland",1,"","Chemical Vendors, Legacy Depositors","http://www.ava-biochem.com/pages/en/home.php",15252,"AVA Biochem BSL AG","George Scott","Rothausstrasse 61","Muttenz","","CH-4132","Switzerland","2016/08/30"
"AvaChem Scientific",6708,"","Chemical Vendors","https://www.avachem.com/",10691,"AvaChem Scientific","Jerry Huang","P.O. Box 780442","San Antonio","TEXAS",78278,"United States","2021/02/04"
"Avanti Polar Lipids",272,"","Chemical Vendors, Legacy Depositors","https://avantilipids.com/","Avanti Polar Lipids","Avanti Polar Lipids, Inc.","David Black","700 Industrial Park Drive","Alabaster","AL",35007,"United States","2010/10/08"
"Avantor Inc",100,"","Chemical Vendors","https://www.avantorsciences.com/",23440,"Avantor Inc","Venkatraman Ramakrishnan","Radnor Corporate Center, Building One, Suite 200, 100 Matsonford Road","Radnor","Pennsylvania",19087,"United States","2019/04/11"
"AX Molecules Inc",2995,"","Chemical Vendors","http://www.axmolecules.com/",15225,"AX Molecules Inc","Jie Xia","2930 Norman Strasse Road, Suite 111","San Marcos","CA",92069,"United States","2016/08/16"
"Axon Medchem",2106,"","Chemical Vendors","http://www.axonmedchem.com",11794,"Axon Medchem","Axon Medchem","12020 Sunrise Valley Dr., suite 100","Reston","Virginia","VA 20191","United States","2021/10/05"
"AZEPINE",600,"","Chemical Vendors","http://azepine.com/",4471,"Azepine Ltd","Julia M","6 Slington House, Rankine Road","Basingstoke","Hampshire","RG24 8PH","United Kingdom","2014/10/02"
"B&C Chemical",505,"","Chemical Vendors, Legacy Depositors","http://www.bcchemic.com/indexen.html",20887,"Shanghai B&C Chemic Co., Ltd.","Junhua Yi","Building 9, No.1158 Zhongxin Rd.","Shanghai","Shanghai",201612,"China","2019/01/02"
"Bangyong Technology  Co., Ltd.",2851,"","Chemical Vendors","http://www.dl-bykj.cn",23751,"Bangyong Technology Co., Ltd.","Baojun Sun","No. 207, Area B, Hongxinghai, Economic and Technological Development Zone","Dalian","Liaoning",116600,"China","2021/08/29"
"Bar-Sagi Lab, NYU School of Medicine",2281,"","Research and Development","https://med.nyu.edu/faculty/dafna-bar-sagi",23659,"NYU Langone Health","Craig Ramirez","522 First Avenue","New York","New York",10016,"United States","2019/09/12"
"Barrie Walker, BARK Information Services",1,"","Curation Efforts","https://uk.linkedin.com/in/barrie-walker-85b4a510",1254,"BARK Information Services","S Barrie Walker","1, Barbush","Dunblane","Stirlingshire","FK15 0FE","United Kingdom","2014/01/08"
"Baynoe Chem",1,"","Chemical Vendors, Legacy Depositors","http://baynoe.com/",23375,"Baynoe Chem Co., Ltd","Aimee Liu","No.115 Xinjunhuan Road","Shanghai","Minhang","","China","2019/01/25"
"Be-Medicine",2,"","Chemical Vendors","http://www.be-medicine.com/",24820,"BE (Shanghai) Medicine Technology Co., Ltd","BE Medicine","NORTH SIDE OF MINGXIN ROAD, NANHU INDUSTRIAL PARK, JIAXING  CITY","Haining","Zhejiang",314400,"China","2021/08/11"
"Beijing Advanced Technology Co, Ltd",28,"","Chemical Vendors, Legacy Depositors","http://www.chemkingdom.com",841,"Beijing Advanced Technology Co., Ltd","jin yonghong","Rm. A205/A207, No. Jia12, Huoju St., Science and Technology Park,Changping , Beijing , P.R. China ","beijing","beijing",102200,"China","2012/01/31"
"Belisle Laboratory, Department of Microbiology, Immunology and Pathology, Colorado State University",2,"","Research and Development","http://www.cvmbs.colostate.edu/DirectorySearch/Search/MemberProfile/cvmbs/3484/Belisle/John",22133,"Colorado State University","John Belisle","3185 Rampart Rd","Fort Collins","Colorado",80523,"United States","2018/07/13"
"Beltsville Human Nutrition Research Center, ARS, USDA",20,"","Governmental Organizations","https://www.ars.usda.gov/northeast-area/beltsville-md-bhnrc/beltsville-human-nutrition-research-center/",15363,"BHNRC, ARS, USDA","Jae Park","Barc-East","Beltsville","MD",20705,"United States","2022/02/04"
"BenchChem",1263903,"","Chemical Vendors","https://www.benchchem.com/",24800,"SIMULATIONTECH INC","Klay Gordon","5999 Trade Center Dr.","Austin","Texas",78744,"United States","2022/01/31"
"BePharm Ltd.",122059,"","Chemical Vendors, Legacy Depositors","http://www.bepharm.com",11961,"BePharm Ltd.","Mandy Huan","128 Xiangyin Road, 5F Building 12, Yangpu District","Shanghai","",200433,"China","2017/11/20"
"BerrChem",12094,"","Chemical Vendors, Legacy Depositors","https://berrchem.com/",1083,"BerrChem Company Ltd","Yanfei Xu","8-2,QianNianZhou Commercial Centre,2# Haoyun Road","Hangzhou","Zhejiang",300000,"China","2014/04/03"
"Bertin Pharma",4,"","Chemical Vendors, Legacy Depositors","https://www.bertin-bioreagent.com/",749,"Bertin Pharma","Patrick Vitaux","10 bis A Ampere","Montigny Le Bretonneux","france",78180,"France","2011/09/19"
"Bestdo Inc",6,"","Chemical Vendors, Legacy Depositors","http://www.bestdochem.com/en/",11874,"Xiamen Bestdo Technology Development Co.,ltd.","Lucy Xie","602A/40 Guanri Road","Xiamen","Fujian Province",361008,"China","2015/12/29"
"Bhaskar Lab, Department of Zoology, Sri Venkateswara University",19,"","Legacy Depositors, Research and Development","http://www.svuniversity.in/colleges/arts/profile/Zoology/bhaskar.html",1040,"Sri Venkateswara University","Nanda Yellapu","Dept. of Zoology, SV Univerity","Tirupati","Andhrapradesh",517502,"India","2013/02/02"
"Bhaskar Lab, Department of Zoology, Sri Venkateswara University, Tirupati, Andhra Pradesh, INDIA",7,"","Legacy Depositors, Research and Development","http://www.svuniversity.ac.in/",4430,"Bhaskar Lab, Department of Zoology, Sri Venkateswara University","MANOJ KUMAR MAHTO","Sri Venkateswara University","Tirupati","Andhra Pradesh",517502,"India","2014/08/28"
"BIDD",1768,"","Legacy Depositors, Research and Development","http://bidd.nus.edu.sg/group2017/index.html","BIDD","Bioinformatics and Drug Design (BIDD) Group,  National University of Singapore","Yu Zong Chen","Blk S16, Level 8, 3 Science Drive 2,","Singapore","Singapore",117543,"Singapore","2010/05/14"
"BIND",1207,"","Legacy Depositors, Subscription Services","","BIND","The Blueprint Initiative","Howard Feldman","Suit 209, 200 Elm St.","Toronto","ON","M5T1K4","Canada","2005/08/03"
"BindingDB",1034682,"","Curation Efforts, Research and Development","http://www.bindingdb.org/bind/","BindingDB","Skaggs School of Pharmacy and Pharmaceutical Sciences, UCSD","Michael Gilson","9500 Gilman Drive","La Jolla","CA",92093-0736,"United States","2022/01/19"
"BioChemPartner",22322,"","Chemical Vendors","http://www.biochempartner.com/",924,"BioChemPartner","Linda Lee","1616 Alley, Zhangjiang Road","ShangHai","","","China","2022/01/24"
"Biocore",74380,"","Chemical Vendors, Legacy Depositors","http://www.biocore-tech.com",12004,"Biocore Technology Limited","Joy Gu","Unit A, 5/F., Wai Yick Industrial Building, 99-101 Bedford Road, Tai Kok Tsui, Kowloon, H.K.","Hongkong","Kowloon",99908,"China","2016/03/25"
"BioCrick",14558,"","Chemical Vendors","https://www.biocrick.com/",22118,"Sichuan BioCrick Biotech Co., Ltd.","Jason Yan","88# Keyuan south road,Hi-Tech Zone","Chengdu","Sichuan",610041,"China","2019/04/17"
"BioCyc",21652,"","Curation Efforts, Subscription Services","https://biocyc.org/","BioCyc","SRI International","Peter Karp","333 Ravenswood Ave","Menlo Park","CA",94025,"United States","2020/09/28"
"Biological Magnetic Resonance Data Bank (BMRB)",1147,"","Research and Development","https://bmrb.io/metabolomics/","Biological Magnetic Resonance Data Bank (BMRB)","Biological Magnetic Resonance Data Bank","Chris Schulte","Biochemistry Addition, 433 Babcock Dr.","Madison","WI",53706,"United States","2013/03/05"
"Bioprocess Technology Lab, Department of Microbiology, Bharathidasan University",4,"","Legacy Depositors, Research and Development","http://www.bdu.ac.in/","Bioprocess Technology Lab, Department of Microbiology, Bharathidasan University","Bharathidasan University","Dharumadurai Dhanasekaran","Palkalaiperur","Tiruchirappalli","Tamil Nadu","620 024","India","2011/09/25"
